WordEnglish;WordTranscript
Four;-N-L-
Hand;-K-S-
I;-M-N-
Name;-N-M-
Night;-#-
Nose;-N-N-
Sun;-P-K-
Three;-K-L-M-
Tongue;-K-L-
Tooth;-H-M-S-
Two;-K-K-S-
Water;-V-S-
Who;-K-S-
Wind;-T-L-
You (thou);-S-
Death;-L-P-
Ear;-R-
Eye;-S-M-N-SH-
Four;-SH-
Hand;-S-L-
I;-M-
Name;-L-M-
Sun;-SH-L-
Three;-C-
Two;-Z-L-
Water;-TH-
You (thou);-TH-
Death;-B-R-
Ear;-S-N-
Eye;-N-S-L-
Hand;-N-L-
I;-M-
Name;-G-R-B-
Night;-D-L-B-
Nose;-P-R-
Sun;-S-N-
Tongue;-N-
Tooth;-H-K-T-
Two;-J-R-
Water;-M-
Who;-N-
Wind;-KH-N-
You (thou);-S-
Death;-D-TH-
Ear;-R-
Eye;-G-
Four;-F-R-
Hand;-H-N-D-
I;-G-
Name;-N-V-N-
Night;-N-T-
Nose;-N-S-
Sun;-S-L-
Three;-T-R-G-R-
Tongue;-T-N-G-
Tooth;-T-N-
Two;-T-V-R-
Water;-V-T-N-
Who;-H-V-R-
Wind;-V-N-D-
You (thou);-T-
Death;-K-L-
Ear;-K-R-V-
Eye;-S-L-M-
Four;-N-L-
Hand;-K-S-
I;-M-N-
Name;-N-M-
Night;-#-
Nose;-N-N-
Sun;-R-N-K-
Three;-K-L-M-
Tongue;-K-L-
Tooth;-H-M-S-
Two;-K-K-S-
Water;-V-S-
Who;-K-K-
Wind;-T-L-
You (thou);-S-N-
Death;-D-D-
Ear;-R-
Eye;-KH-
Four;-F-R-
Hand;-H-N-D-
I;-K-
Name;-N-M-
Night;-N-KH-T-
Nose;-N-S-
Sun;-Z-N-
Three;-D-R-
Tongue;-T-N-G-
Tooth;-T-N-D-
Two;-T-V-
Water;-V-T-R-
Who;-V-
Wind;-V-N-D-
You (thou);-KH-
Death;-M-R-
Ear;-R-J-
Eye;-J-
Four;-K-T-R-
Hand;-M-
I;-ZH-
Name;-N-M-
Night;-N-T-
Nose;-N-Z-
Sun;-S-L-J-
Three;-T-R-
Tongue;-L-N-G-
Tooth;-D-N-T-
Two;-D-
Water;-#-
Who;-K-
Wind;-V-N-T-
You (thou);-T-
Death;-M-
Ear;-Z-H-W-
Eye;-Z-
Four;-K-T-
Hand;-L-M-
I;-M-W-
Name;-N-
Night;-N-W-T-
Nose;-N-
Sun;-S-L-J-
Three;-TH-W-
Tongue;-L-N-
Tooth;-D-
Two;-D-
Water;-D-L-
Who;-K-
Wind;-V-
You (thou);-W-
Death;-M-
Ear;-Z-R-
Eye;-Z-
Four;-K-T-
Hand;-L-M-
I;-M-W-
Name;-N-
Night;-N-W-T-
Nose;-N-
Sun;-S-L-J-
Three;-T-W-
Tongue;-L-N-
Tooth;-D-
Two;-D-
Water;-D-L-
Who;-K-M-N-
Wind;-V-
You (thou);-#-
Death;-D-
Ear;-R-
Eye;-J-KH-
Four;-F-R-
Hand;-H-N-
I;-K-
Name;-N-M-
Night;-N-KH-T-
Nose;-N-S-
Sun;-S-N-
Three;-T-R-
Tongue;-T-N-G-
Tooth;-T-S-K-
Two;-T-W-
Water;-V-T-R-
Who;-V-
Wind;-V-N-
You (thou);-D-
Death;-M-R-
Ear;-R-L-
Eye;-V-L-
Four;-K-T-R-
Hand;-M-N-
I;-J-
Name;-N-N-
Night;-N-T-
Nose;-N-S-
Sun;-S-R-L-
Three;-T-R-
Tongue;-L-N-G-
Tooth;-D-N-T-
Two;-D-
Water;-G-
Who;-K-
Wind;-V-N-T-
You (thou);-T-
Death;-M-D-
Ear;-N-P-
Eye;-J-T-R-
Four;-N-J-
Hand;-ZH-N-G-
I;-M-
Name;-N-D-
Night;-ZH-M-
Nose;-K-N-
Sun;-N-N-G-
Three;-T-T-
Tongue;-D-M-N-L-
Tooth;-N-R-
Two;-D-D-
Water;-N-D-J-M-
Who;-M-ZH-
Wind;-H-N-D-
You (thou);-N-
Death;-M-R-
Ear;-R-L-
Eye;-L-
Four;-K-T-R-
Hand;-M-N-
I;-J-
Name;-N-M-
Night;-N-T-
Nose;-N-R-Z-
Sun;-S-L-
Three;-T-R-S-
Tongue;-L-N-G-
Tooth;-D-N-T-
Two;-D-S-
Water;-G-
Who;-K-
Wind;-V-N-T-
You (thou);-T-
Ear;-S-
Eye;-D-R-K-
Four;-P-T-R-
Hand;-L-M-
I;-M-
Name;-N-N-
Night;-N-KH-T-
Nose;-S-R-N-
Sun;-S-N-
Three;-T-R-
Tongue;-T-N-G-
Two;-D-
Water;-D-B-R-
You (thou);-T-
Death;-M-T-
Ear;-Z-N-
Eye;-N-
Four;-R-B-
Hand;-D-
I;-N-
Name;-S-M-
Night;-L-L-T-
Nose;-N-F-
Sun;-L-H-
Three;-SH-L-S-T-
Tongue;-L-S-N-
Tooth;-S-N-
Two;-K-L-T-
Water;-M-
Who;-M-N-
You (thou);-N-T-
Death;-P-L-N-
Ear;-P-
Eye;-T-
Four;-P-
Hand;-M-
I;-#-
Night;-V-
Nose;-T-
Sun;-L-
Three;-T-
Tongue;-M-
Tooth;-P-L-N-
Two;-S-
Water;-N-
Who;-N-
Wind;-V-
You (thou);-M-
Death;-S-K-V-D-
Ear;-K-R-
Eye;-T-V-L-
Four;-T-KH-
Hand;-KH-L-
I;-M-
Name;-G-V-R-
Night;-R-M-
Nose;-C-KH-V-R-
Sun;-M-Z-
Three;-S-M-
Tongue;-N-
Tooth;-K-B-L-
Two;-R-
Water;-C-K-L-
Who;-V-N-
Wind;-K-R-
You (thou);-SH-
Death;-T-T-
Ear;-R-
Eye;-G-
Four;-F-R-
Hand;-H-N-D-
I;-KH-
Name;-N-M-
Night;-N-KH-T-
Nose;-N-Z-
Sun;-Z-N-
Three;-D-R-
Tongue;-C-N-G-
Tooth;-C-N-
Two;-C-V-
Water;-V-S-R-
Who;-V-R-
Wind;-V-N-D-
You (thou);-D-
Death;-D-TH-
Ear;-S-
Eye;-G-
Four;-F-D-W-R-
Hand;-KH-N-D-
I;-K-
Name;-N-M-
Night;-N-KH-T-
Sun;-S-N-
Three;-TH-R-S-
Tongue;-T-N-G-
Tooth;-T-N-TH-
Two;-T-V-
Water;-V-T-
Who;-W-S-
Wind;-V-N-D-
You (thou);-TH-
Death;-P-TH-N-
Ear;-S-
Eye;-M-
Four;-T-S-R-
Hand;-KH-R-
I;-G-
Name;-N-M-
Night;-N-S-
Nose;-R-N-
Sun;-H-L-
Three;-T-R-
Tongue;-G-L-T-
Tooth;-D-S-
Two;-D-
Water;-D-R-
Who;-P-
Wind;-N-M-
You (thou);-S-
Death;-P-TH-N-
Ear;-T-
Eye;-M-T-
Four;-T-S-R-
Hand;-KH-R-
I;-G-
Name;-N-M-
Night;-N-KH-T-
Nose;-R-S-
Sun;-L-
Three;-T-R-
Tongue;-G-L-S-
Tooth;-D-N-T-
Two;-D-
Water;-N-R-
Who;-P-
Wind;-N-M-
You (thou);-S-
Death;-T-K-
Ear;-S-T-
Eye;-L-
Four;-S-M-T-
Hand;-T-K-
I;-R-
Name;-T-K-
Night;-N-K-
Nose;-K-N-K-
Sun;-S-K-K-
Three;-P-N-S-T-
Tongue;-T-T-T-
Tooth;-N-K-T-
Two;-M-R-T-T-
Water;-M-K-
Who;-K-
Wind;-N-R-S-K-
You (thou);-T-T-
Death;-T-K-
Ear;-S-T-
Eye;-S-
Four;-S-S-M-T-
